id,category,supplier,date,amount,cost_center,description
423,18,19,2025-04-22,40955.17,ADM002,Factory maintenance services
424,11,2,2025-04-16,9278.95,RND001,Purchase of brake disc & drum components item/service.
425,18,10,2025-01-11,11004.28,ADM002,Factory maintenance services
426,20,5,2025-06-16,20749.87,SALES001,Product quality testing
427,9,6,2025-05-24,12367.29,LOG001,Purchase of brake caliper sub-assemblies item/service.
428,17,3,2025-01-08,1371.99,IT001,Software license fees
429,12,7,2025-02-03,48812.4,LOG001,Purchase of hydraulic system parts item/service.
430,17,20,2025-05-06,26398.23,IT001,Software license fees
431,17,10,2025-01-25,67673.06,ADM002,Software license fees
432,20,3,2025-05-16,12244.17,RND001,Product quality testing
433,20,19,2025-02-03,6833.34,LOG001,Product quality testing
434,10,1,2025-02-20,57641.22,ADM002,Purchase of brake pad & lining components item/service.
435,20,12,2025-03-04,44487.79,IT001,Product quality testing
436,20,15,2025-05-15,25314.42,SALES001,Product quality testing
437,19,15,2025-02-15,43119.22,SALES001,Monthly electricity bill
438,11,8,2025-05-08,31596.93,SALES001,Purchase of brake disc & drum components item/service.
439,15,19,2025-05-19,13504.95,PROD002,CNC machining charges
440,19,20,2025-04-03,24860.7,LOG001,Monthly electricity bill
441,19,10,2025-02-07,54175.22,ADM001,Monthly electricity bill
442,5,4,2025-02-03,40660.73,RND001,Purchase of steel alloys item/service.
443,18,3,2025-05-18,46509.37,PROD001,Factory maintenance services
444,14,1,2025-04-04,44272.4,PROD001,Purchase of sensors & electronics item/service.
445,15,4,2025-04-23,44460.62,SALES001,CNC machining charges
446,10,17,2025-04-28,23316.61,ADM002,Purchase of brake pad & lining components item/service.
447,20,10,2025-05-12,56336.26,ADM001,Product quality testing
448,15,9,2025-02-01,27221.13,LOG001,CNC machining charges
449,16,12,2025-06-24,3481.46,IT002,Freight and logistics costs
450,8,16,2025-01-22,68485.57,IT002,Purchase of chemicals & fluids item/service.
451,18,19,2025-06-07,64413.13,PROD002,Factory maintenance services
452,17,19,2025-05-10,12640.82,SALES001,Software license fees
453,18,18,2025-06-17,13844.09,ADM002,Factory maintenance services
454,16,18,2025-02-11,54646.78,ADM001,Freight and logistics costs
455,17,5,2025-05-25,32731.63,SALES001,Software license fees
456,20,20,2025-06-14,20137.78,IT002,Product quality testing
457,19,15,2025-02-13,38997.86,ADM001,Monthly electricity bill
458,16,10,2025-05-25,8102.88,RND001,Freight and logistics costs
459,14,16,2025-01-03,2376.85,LOG001,Purchase of sensors & electronics item/service.
460,15,10,2025-02-28,58357.93,LOG001,CNC machining charges
461,15,5,2025-02-18,27582.33,ADM001,CNC machining charges
462,20,16,2025-06-24,65426.75,LOG001,Product quality testing
463,6,17,2025-05-21,63246.38,IT001,Purchase of rubber & polymers item/service.
464,15,20,2025-05-30,61758.25,PROD001,CNC machining charges
465,16,15,2025-05-03,50269.6,SALES001,Freight and logistics costs
466,18,15,2025-04-05,55682.09,RND001,Factory maintenance services
467,15,7,2025-04-19,18425.0,IT001,CNC machining charges
468,14,13,2025-05-20,42066.43,PROD002,Purchase of sensors & electronics item/service.
469,19,15,2025-01-29,30871.85,SALES001,Monthly electricity bill
470,15,11,2025-02-14,21658.52,ADM002,CNC machining charges
471,17,11,2025-05-03,33932.82,SALES001,Software license fees
472,10,6,2025-04-07,72343.77,LOG001,Purchase of brake pad & lining components item/service.
473,19,19,2025-02-14,43129.47,RND001,Monthly electricity bill
474,20,14,2025-03-11,71544.79,SALES001,Product quality testing
475,17,12,2025-02-12,20571.8,PROD002,Software license fees
476,7,7,2025-03-04,47581.23,IT002,Purchase of casting materials item/service.
477,20,12,2025-04-04,44546.41,IT001,Product quality testing
478,17,18,2025-01-15,72676.11,SALES001,Software license fees
479,20,12,2025-05-27,17105.77,PROD001,Product quality testing
480,19,10,2025-01-31,36497.19,SALES001,Monthly electricity bill
